Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,coat_length,good_with_strangers,playfulness,trainability
Golden Retriever,10,12,24,24,75,65,23,23,65,55,1,5,4,5
Poodle (Miniature),10,18,15,15,15,15,10,10,10,10,1,5,5,5
Beagle,10,15,16,15,20,30,14,13,15,20,1,3,4,3
Siberian Husky,12,14,23.5,23.5,60,50,21,21,45,35,1,5,5,3
Shih Tzu,10,18,10.5,10.5,16,16,9,9,9,9,1,3,3,4
Pomeranian,12,16,7,7,7,7,6,6,3,3,1,3,3,3
Cocker Spaniel,10,14,15.5,15.5,30,25,14.5,14.5,25,20,1,4,3,4
Maltese,12,15,9,9,8.8,8.8,7,7,6.6,6.6,1,3,3,3
Chihuahua,14,16,8,8,6,6,5,5,4,4,2,2,4,3
Rottweiler,9,10,27,27,135,100,24,24,95,80,1,3,4,5
Russian Toy,12,14,11,11,6.6,6.6,8,8,3.3,3.3,1,3,4,4
Alaskan Klee Kai,13,16,28,28,130,100,26,26,100,70,1,0,0,3
Jindo,14,14,22,22,50,50,18,18,30,30,1,3,3,4
Italian Greyhound,14,15,15,15,14,14,13,13,7,7,1,5,4,4
Cavalier King Charles Spaniel,12,15,13,13,18,18,12,12,13,13,1,4,3,4
Alaskan Malamute,10,14,25,25,85,75,25,25,85,75,1,3,3,5
Australian Shepherd,12,15,23,23,65,55,20,20,50,40,1,3,4,5
Pembroke Welsh Corgi,12,13,12,12,31,28,10,10,24,24,1,4,4,4
French Bulldog,10,12,13,13,28,26,11,11,20,18,1,5,5,4
